Start Time,Consumption (W)
2024-01-08 09:00:00,4476.0
2024-01-08 10:00:00,4034.0
2024-01-08 11:00:00,3538.0
2024-01-08 12:00:00,3768.0
2024-01-08 13:00:00,4250.0
2024-01-08 14:00:00,3586.0
2024-01-08 15:00:00,3808.0
2024-01-08 16:00:00,3956.0
2024-01-08 17:00:00,5206.0
2024-01-08 18:00:00,5432.0
2024-01-08 19:00:00,11248.0
2024-01-08 20:00:00,4840.0
2024-01-08 21:00:00,6188.0
2024-01-08 22:00:00,5668.0
2024-01-08 23:00:00,8052.0
2024-01-09 00:00:00,8320.0
2024-01-09 01:00:00,8246.0
2024-01-09 02:00:00,8776.0
2024-01-09 03:00:00,3228.0
2024-01-09 04:00:00,3998.0
2024-01-09 05:00:00,4010.0
2024-01-09 06:00:00,3122.0
2024-01-09 07:00:00,4412.0
2024-01-09 08:00:00,3792.0
2024-01-09 09:00:00,3156.0
2024-01-09 10:00:00,4002.0
2024-01-09 11:00:00,3452.0
2024-01-09 12:00:00,4612.0
2024-01-09 13:00:00,3538.0
2024-01-09 14:00:00,4288.0
2024-01-09 15:00:00,3558.0
2024-01-09 16:00:00,3986.0
2024-01-09 17:00:00,4090.0
2024-01-09 18:00:00,5368.0
2024-01-09 19:00:00,9884.0
2024-01-09 20:00:00,10150.0
2024-01-09 21:00:00,11488.0
2024-01-09 22:00:00,10444.0
2024-01-09 23:00:00,10188.0
2024-01-10 00:00:00,10626.0
2024-01-10 01:00:00,10226.0
2024-01-10 02:00:00,9130.0
2024-01-10 03:00:00,9184.0
2024-01-10 04:00:00,6346.0
2024-01-10 05:00:00,4476.0
2024-01-10 06:00:00,4848.0
2024-01-10 07:00:00,5964.0
2024-01-10 08:00:00,4974.0
2024-01-10 09:00:00,5890.0
2024-01-10 10:00:00,4470.0
2024-01-10 11:00:00,5050.0
2024-01-10 12:00:00,5462.0
2024-01-10 13:00:00,5070.0
2024-01-10 14:00:00,4138.0
2024-01-10 15:00:00,5024.0
2024-01-10 16:00:00,4398.0
2024-01-10 17:00:00,6048.0
2024-01-10 18:00:00,7810.0
2024-01-10 19:00:00,11158.0
2024-01-10 20:00:00,9670.0
2024-01-10 21:00:00,9666.0
2024-01-10 22:00:00,9886.0
2024-01-10 23:00:00,5754.0
2024-01-11 00:00:00,5070.0
2024-01-11 01:00:00,5002.0
2024-01-11 02:00:00,4248.0
2024-01-11 03:00:00,5044.0
2024-01-11 04:00:00,4544.0
2024-01-11 05:00:00,6168.0
2024-01-11 06:00:00,4492.0
2024-01-11 07:00:00,6494.0
2024-01-11 08:00:00,6606.0
2024-01-11 09:00:00,5616.0
2024-01-11 10:00:00,4224.0
2024-01-11 11:00:00,4484.0
2024-01-11 12:00:00,5056.0
2024-01-11 13:00:00,4290.0
2024-01-11 14:00:00,5334.0
2024-01-11 15:00:00,4500.0
2024-01-11 16:00:00,4176.0
2024-01-11 17:00:00,5200.0
2024-01-11 18:00:00,5708.0
2024-01-11 19:00:00,10072.0
2024-01-11 20:00:00,7962.0
2024-01-11 21:00:00,5670.0
2024-01-11 22:00:00,5942.0
2024-01-11 23:00:00,9818.0
2024-01-12 00:00:00,9022.0
2024-01-12 01:00:00,4986.0
2024-01-12 02:00:00,4500.0
2024-01-12 03:00:00,6418.0
2024-01-12 04:00:00,4996.0
2024-01-12 05:00:00,4938.0
2024-01-12 06:00:00,4796.0
2024-01-12 07:00:00,4700.0
2024-01-12 08:00:00,6002.0
2024-01-12 09:00:00,5840.0
2024-01-12 10:00:00,4418.0
2024-01-12 11:00:00,4740.0
2024-01-12 12:00:00,5228.0
2024-01-12 13:00:00,5784.0
2024-01-12 14:00:00,8712.0
2024-01-12 15:00:00,9684.0
2024-01-12 16:00:00,5720.0
2024-01-12 17:00:00,5762.0
2024-01-12 18:00:00,7948.0
2024-01-12 19:00:00,6842.0
2024-01-12 20:00:00,8854.0
2024-01-12 21:00:00,9268.0
2024-01-12 22:00:00,10368.0
2024-01-12 23:00:00,9580.0
2024-01-13 00:00:00,8248.0
2024-01-13 01:00:00,5864.0
2024-01-13 02:00:00,4254.0
2024-01-13 03:00:00,5322.0
2024-01-13 04:00:00,5658.0
2024-01-13 05:00:00,5732.0
2024-01-13 06:00:00,5506.0
2024-01-13 07:00:00,5150.0
2024-01-13 08:00:00,4946.0
2024-01-13 09:00:00,8486.0
2024-01-13 10:00:00,9252.0
2024-01-13 11:00:00,5586.0
2024-01-13 12:00:00,5100.0
2024-01-13 13:00:00,5030.0
2024-01-13 14:00:00,5716.0
2024-01-13 15:00:00,5576.0
2024-01-13 16:00:00,4800.0
2024-01-13 17:00:00,5538.0
2024-01-13 18:00:00,4518.0
2024-01-13 19:00:00,4810.0
2024-01-13 20:00:00,5666.0
2024-01-13 21:00:00,4906.0
2024-01-13 22:00:00,5588.0
2024-01-13 23:00:00,4772.0
2024-01-14 00:00:00,5176.0
2024-01-14 01:00:00,5156.0
2024-01-14 02:00:00,4736.0
2024-01-14 03:00:00,5626.0
2024-01-14 04:00:00,4770.0
2024-01-14 05:00:00,4832.0
2024-01-14 06:00:00,5768.0
2024-01-14 07:00:00,4758.0
2024-01-14 08:00:00,4798.0
2024-01-14 09:00:00,5554.0
2024-01-14 10:00:00,5292.0
2024-01-14 11:00:00,4896.0
2024-01-14 12:00:00,4440.0
2024-01-14 13:00:00,5408.0
2024-01-14 14:00:00,5484.0
2024-01-14 15:00:00,6022.0
2024-01-14 16:00:00,6722.0
2024-01-14 17:00:00,7922.0
2024-01-14 18:00:00,7732.0
2024-01-14 19:00:00,13378.0
2024-01-14 20:00:00,13868.0
2024-01-14 21:00:00,13250.0
2024-01-14 22:00:00,7164.0
2024-01-14 23:00:00,3502.0
